------------------------------------------------------------------------------------
Date: 12/12/2022 -- 00:19:37 (uptime: 0d, 00h 00m 49s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
decoder.avg_pkt_size                          | Total                     | 620
decoder.max_pkt_size                          | Total                     | 1514
flow.tcp                                      | Total                     | 293
flow.udp                                      | Total                     | 369
flow.icmpv6                                   | Total                     | 2
tcp.sessions                                  | Total                     | 291
tcp.syn                                       | Total                     | 291
tcp.synack                                    | Total                     | 289
tcp.rst                                       | Total                     | 116
tcp.overlap                                   | Total                     | 11
detect.alert                                  | Total                     | 26
app_layer.flow.http                           | Total                     | 16
app_layer.tx.http                             | Total                     | 38
app_layer.flow.tls                            | Total                     | 214
app_layer.flow.dhcp                           | Total                     | 2
app_layer.tx.dhcp                             | Total                     | 4
app_layer.flow.dns_udp                        | Total                     | 254
app_layer.tx.dns_udp                          | Total                     | 929
app_layer.flow.failed_udp                     | Total                     | 113
flow_mgr.closed_pruned                        | Total                     | 24
flow_mgr.new_pruned                           | Total                     | 68
flow.spare                                    | Total                     | 10000
flow_mgr.flows_checked                        | Total                     | 36
flow_mgr.flows_notimeout                      | Total                     | 13
flow_mgr.flows_timeout                        | Total                     | 23
flow_mgr.flows_timeout_inuse                  | Total                     | 23
flow_mgr.rows_checked                         | Total                     | 65536
flow_mgr.rows_skipped                         | Total                     | 65501
flow_mgr.rows_maxlen                          | Total                     | 2
tcp.memuse                                    | Total                     | 1720320
tcp.reassembly_memuse                         | Total                     | 5913824
http.memuse                                   | Total                     | 258515
flow.memuse                                   | Total                     | 7667824
------------------------------------------------------------------------------------
Date: 12/12/2022 -- 00:20:09 (uptime: 0d, 00h 01m 21s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 69120
decoder.bytes                                 | Total                     | 42692161
decoder.ipv4                                  | Total                     | 69097
decoder.ipv6                                  | Total                     | 11
decoder.ethernet                              | Total                     | 69120
decoder.tcp                                   | Total                     | 46751
decoder.udp                                   | Total                     | 22355
decoder.icmpv6                                | Total                     | 2
decoder.avg_pkt_size                          | Total                     | 617
decoder.max_pkt_size                          | Total                     | 1514
flow.tcp                                      | Total                     | 363
flow.udp                                      | Total                     | 446
flow.icmpv6                                   | Total                     | 2
tcp.sessions                                  | Total                     | 361
tcp.syn                                       | Total                     | 361
tcp.synack                                    | Total                     | 361
tcp.rst                                       | Total                     | 144
tcp.overlap                                   | Total                     | 11
detect.alert                                  | Total                     | 33
app_layer.flow.http                           | Total                     | 21
app_layer.tx.http                             | Total                     | 56
app_layer.flow.tls                            | Total                     | 263
app_layer.flow.dhcp                           | Total                     | 2
app_layer.tx.dhcp                             | Total                     | 4
app_layer.flow.dns_udp                        | Total                     | 301
app_layer.tx.dns_udp                          | Total                     | 1113
app_layer.flow.failed_udp                     | Total                     | 143
flow_mgr.closed_pruned                        | Total                     | 29
flow_mgr.new_pruned                           | Total                     | 75
flow.spare                                    | Total                     | 10000
flow_mgr.flows_checked                        | Total                     | 77
flow_mgr.flows_notimeout                      | Total                     | 15
flow_mgr.flows_timeout                        | Total                     | 62
flow_mgr.flows_timeout_inuse                  | Total                     | 62
flow_mgr.rows_checked                         | Total                     | 65536
flow_mgr.rows_skipped                         | Total                     | 65459
flow_mgr.rows_maxlen                          | Total                     | 1
tcp.memuse                                    | Total                     | 1720320
tcp.reassembly_memuse                         | Total                     | 6649776
http.memuse                                   | Total                     | 75512
flow.memuse                                   | Total                     | 7706528
------------------------------------------------------------------------------------
Date: 12/12/2022 -- 00:20:17 (uptime: 0d, 00h 01m 29s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 72128
decoder.bytes                                 | Total                     | 45007650
decoder.ipv4                                  | Total                     | 72105
decoder.ipv6                                  | Total                     | 11
decoder.ethernet                              | Total                     | 72128
decoder.tcp                                   | Total                     | 49653
decoder.udp                                   | Total                     | 22461
decoder.icmpv6                                | Total                     | 2
decoder.avg_pkt_size                          | Total                     | 623
decoder.max_pkt_size                          | Total                     | 1514
flow.tcp                                      | Total                     | 386
flow.udp                                      | Total                     | 481
flow.icmpv6                                   | Total                     | 2
tcp.sessions                                  | Total                     | 384
tcp.syn                                       | Total                     | 384
tcp.synack                                    | Total                     | 383
tcp.rst                                       | Total                     | 158
tcp.overlap                                   | Total                     | 12
detect.alert                                  | Total                     | 36
app_layer.flow.http                           | Total                     | 23
app_layer.tx.http                             | Total                     | 59
app_layer.flow.tls                            | Total                     | 279
app_layer.flow.dhcp                           | Total                     | 2
app_layer.tx.dhcp                             | Total                     | 4
app_layer.flow.dns_udp                        | Total                     | 327
app_layer.tx.dns_udp                          | Total                     | 1214
app_layer.flow.failed_udp                     | Total                     | 152
flow_mgr.closed_pruned                        | Total                     | 54
flow_mgr.new_pruned                           | Total                     | 85
flow_mgr.est_pruned                           | Total                     | 6
flow.spare                                    | Total                     | 10000
flow_mgr.flows_checked                        | Total                     | 175
flow_mgr.flows_notimeout                      | Total                     | 7
flow_mgr.flows_timeout                        | Total                     | 168
flow_mgr.flows_timeout_inuse                  | Total                     | 167
flow_mgr.flows_removed                        | Total                     | 1
flow_mgr.rows_checked                         | Total                     | 65536
flow_mgr.rows_skipped                         | Total                     | 65364
flow_mgr.rows_maxlen                          | Total                     | 2
tcp.memuse                                    | Total                     | 1720320
tcp.reassembly_memuse                         | Total                     | 7251264
http.memuse                                   | Total                     | 56460
flow.memuse                                   | Total                     | 7727848
------------------------------------------------------------------------------------
Date: 12/12/2022 -- 00:20:25 (uptime: 0d, 00h 01m 37s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 87680
decoder.bytes                                 | Total                     | 56837106
decoder.ipv4                                  | Total                     | 87657
decoder.ipv6                                  | Total                     | 11
decoder.ethernet                              | Total                     | 87680
decoder.tcp                                   | Total                     | 64127
decoder.udp                                   | Total                     | 23539
decoder.icmpv6                                | Total                     | 2
decoder.avg_pkt_size                          | Total                     | 648
decoder.max_pkt_size                          | Total                     | 1514
flow.tcp                                      | Total                     | 487
flow.udp                                      | Total                     | 638
flow.icmpv6                                   | Total                     | 2
tcp.sessions                                  | Total                     | 484
tcp.syn                                       | Total                     | 484
tcp.synack                                    | Total                     | 484
tcp.rst                                       | Total                     | 205
tcp.overlap                                   | Total                     | 12
detect.alert                                  | Total                     | 50
app_layer.flow.http                           | Total                     | 31
app_layer.tx.http                             | Total                     | 83
app_layer.flow.tls                            | Total                     | 355
app_layer.flow.dhcp                           | Total                     | 2
app_layer.tx.dhcp                             | Total                     | 4
app_layer.flow.dns_udp                        | Total                     | 433
app_layer.tx.dns_udp                          | Total                     | 1622
app_layer.flow.failed_udp                     | Total                     | 203
flow_mgr.closed_pruned                        | Total                     | 85
flow_mgr.new_pruned                           | Total                     | 128
flow_mgr.est_pruned                           | Total                     | 145
flow.spare                                    | Total                     | 10000
flow_mgr.flows_checked                        | Total                     | 303
flow_mgr.flows_notimeout                      | Total                     | 10
flow_mgr.flows_timeout                        | Total                     | 293
flow_mgr.flows_timeout_inuse                  | Total                     | 293
flow_mgr.rows_checked                         | Total                     | 65536
flow_mgr.rows_skipped                         | Total                     | 65236
flow_mgr.rows_maxlen                          | Total                     | 2
tcp.memuse                                    | Total                     | 1720320
tcp.reassembly_memuse                         | Total                     | 8946304
http.memuse                                   | Total                     | 75746
flow.memuse                                   | Total                     | 7723912
------------------------------------------------------------------------------------
Date: 12/12/2022 -- 00:20:33 (uptime: 0d, 00h 01m 45s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 104448
decoder.bytes                                 | Total                     | 70084389
decoder.ipv4                                  | Total                     | 104425
decoder.ipv6                                  | Total                     | 11
decoder.ethernet                              | Total                     | 104448
decoder.tcp                                   | Total                     | 78098
decoder.udp                                   | Total                     | 26336
decoder.icmpv6                                | Total                     | 2
decoder.avg_pkt_size                          | Total                     | 670
decoder.max_pkt_size                          | Total                     | 1514
flow.tcp                                      | Total                     | 569
flow.udp                                      | Total                     | 711
flow.icmpv6                                   | Total                     | 2
tcp.sessions                                  | Total                     | 566
tcp.syn                                       | Total                     | 571
tcp.synack                                    | Total                     | 565
tcp.rst                                       | Total                     | 249
tcp.stream_depth_reached                      | Total                     | 1
tcp.overlap                                   | Total                     | 12
detect.alert                                  | Total                     | 55
app_layer.flow.http                           | Total                     | 37
app_layer.tx.http                             | Total                     | 94
app_layer.flow.tls                            | Total                     | 416
app_layer.flow.dhcp                           | Total                     | 2
app_layer.tx.dhcp                             | Total                     | 4
app_layer.flow.dns_udp                        | Total                     | 486
app_layer.tx.dns_udp                          | Total                     | 1833
app_layer.flow.failed_udp                     | Total                     | 223
flow_mgr.closed_pruned                        | Total                     | 148
flow_mgr.new_pruned                           | Total                     | 134
flow_mgr.est_pruned                           | Total                     | 211
flow.spare                                    | Total                     | 9999
flow_mgr.flows_checked                        | Total                     | 262
flow_mgr.flows_notimeout                      | Total                     | 3
flow_mgr.flows_timeout                        | Total                     | 259
flow_mgr.flows_timeout_inuse                  | Total                     | 259
flow_mgr.rows_checked                         | Total                     | 65536
flow_mgr.rows_skipped                         | Total                     | 65278
flow_mgr.rows_maxlen                          | Total                     | 2
tcp.memuse                                    | Total                     | 1720320
tcp.reassembly_memuse                         | Total                     | 9695536
http.memuse                                   | Total                     | 65189
flow.memuse                                   | Total                     | 7739656
------------------------------------------------------------------------------------
Date: 12/12/2022 -- 00:20:41 (uptime: 0d, 00h 01m 53s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 121536
decoder.bytes                                 | Total                     | 84511183
decoder.ipv4                                  | Total                     | 121513
decoder.ipv6                                  | Total                     | 11
decoder.ethernet                              | Total                     | 121536
decoder.tcp                                   | Total                     | 94741
decoder.udp                                   | Total                     | 26781
decoder.icmpv6                                | Total                     | 2
decoder.avg_pkt_size                          | Total                     | 695
decoder.max_pkt_size                          | Total                     | 1514
flow.tcp                                      | Total                     | 661
flow.udp                                      | Total                     | 782
flow.icmpv6                                   | Total                     | 2
tcp.sessions                                  | Total                     | 658
tcp.syn                                       | Total                     | 663
