------------------------------------------------------------------------------------
Date: 12/11/2022 -- 23:24:31 (uptime: 0d, 00h 00m 38s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
decoder.icmpv4                                | Total                     | 81
decoder.icmpv6                                | Total                     | 65
decoder.avg_pkt_size                          | Total                     | 926
decoder.max_pkt_size                          | Total                     | 1514
flow.tcp                                      | Total                     | 96
flow.udp                                      | Total                     | 678
flow.icmpv6                                   | Total                     | 7
tcp.sessions                                  | Total                     | 89
tcp.syn                                       | Total                     | 89
tcp.synack                                    | Total                     | 89
tcp.rst                                       | Total                     | 72
tcp.stream_depth_reached                      | Total                     | 6
tcp.reassembly_gap                            | Total                     | 2
detect.alert                                  | Total                     | 93
app_layer.flow.http                           | Total                     | 34
app_layer.tx.http                             | Total                     | 53
app_layer.flow.ftp                            | Total                     | 1
app_layer.tx.ftp                              | Total                     | 15
app_layer.flow.tls                            | Total                     | 46
app_layer.flow.ntp                            | Total                     | 13
app_layer.tx.ntp                              | Total                     | 103
app_layer.flow.krb5_tcp                       | Total                     | 1
app_layer.tx.krb5_tcp                         | Total                     | 1
app_layer.flow.dhcp                           | Total                     | 8
app_layer.tx.dhcp                             | Total                     | 72
app_layer.flow.dns_udp                        | Total                     | 580
app_layer.tx.dns_udp                          | Total                     | 929
app_layer.flow.failed_udp                     | Total                     | 77
flow_mgr.closed_pruned                        | Total                     | 30
flow_mgr.new_pruned                           | Total                     | 294
flow_mgr.est_pruned                           | Total                     | 249
flow.spare                                    | Total                     | 10000
flow.tcp_reuse                                | Total                     | 2
flow_mgr.flows_checked                        | Total                     | 28
flow_mgr.flows_notimeout                      | Total                     | 1
flow_mgr.flows_timeout                        | Total                     | 27
flow_mgr.flows_timeout_inuse                  | Total                     | 27
flow_mgr.rows_checked                         | Total                     | 65536
flow_mgr.rows_skipped                         | Total                     | 65508
flow_mgr.rows_maxlen                          | Total                     | 1
tcp.memuse                                    | Total                     | 573840
tcp.reassembly_memuse                         | Total                     | 2137404
http.memuse                                   | Total                     | 507893
ftp.memuse                                    | Total                     | 2414
app_layer.expectations                        | Total                     | 1
flow.memuse                                   | Total                     | 7524488
------------------------------------------------------------------------------------
Date: 12/11/2022 -- 23:24:55 (uptime: 0d, 00h 01m 02s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 76224
decoder.bytes                                 | Total                     | 70530930
decoder.ipv4                                  | Total                     | 75589
decoder.ipv6                                  | Total                     | 203
decoder.ethernet                              | Total                     | 76224
decoder.tcp                                   | Total                     | 39015
decoder.udp                                   | Total                     | 36609
decoder.icmpv4                                | Total                     | 100
decoder.icmpv6                                | Total                     | 68
decoder.avg_pkt_size                          | Total                     | 925
decoder.max_pkt_size                          | Total                     | 1514
flow.tcp                                      | Total                     | 107
flow.udp                                      | Total                     | 722
flow.icmpv6                                   | Total                     | 7
tcp.sessions                                  | Total                     | 100
tcp.syn                                       | Total                     | 100
tcp.synack                                    | Total                     | 100
tcp.rst                                       | Total                     | 106
tcp.stream_depth_reached                      | Total                     | 7
tcp.reassembly_gap                            | Total                     | 2
detect.alert                                  | Total                     | 97
app_layer.flow.http                           | Total                     | 36
app_layer.tx.http                             | Total                     | 57
app_layer.flow.ftp                            | Total                     | 1
app_layer.tx.ftp                              | Total                     | 15
app_layer.flow.tls                            | Total                     | 55
app_layer.flow.ntp                            | Total                     | 13
app_layer.tx.ntp                              | Total                     | 105
app_layer.flow.krb5_tcp                       | Total                     | 1
app_layer.tx.krb5_tcp                         | Total                     | 1
app_layer.flow.dhcp                           | Total                     | 9
app_layer.tx.dhcp                             | Total                     | 74
app_layer.flow.dns_udp                        | Total                     | 614
app_layer.tx.dns_udp                          | Total                     | 980
app_layer.flow.failed_udp                     | Total                     | 86
flow_mgr.closed_pruned                        | Total                     | 32
flow_mgr.new_pruned                           | Total                     | 358
flow_mgr.est_pruned                           | Total                     | 251
flow.spare                                    | Total                     | 10000
flow.tcp_reuse                                | Total                     | 2
flow_mgr.flows_checked                        | Total                     | 36
flow_mgr.flows_timeout                        | Total                     | 36
flow_mgr.flows_timeout_inuse                  | Total                     | 36
flow_mgr.rows_checked                         | Total                     | 65536
flow_mgr.rows_skipped                         | Total                     | 65500
flow_mgr.rows_maxlen                          | Total                     | 1
tcp.memuse                                    | Total                     | 573440
tcp.reassembly_memuse                         | Total                     | 2380720
http.memuse                                   | Total                     | 541946
ftp.memuse                                    | Total                     | 2414
app_layer.expectations                        | Total                     | 1
flow.memuse                                   | Total                     | 7538264
------------------------------------------------------------------------------------
Date: 12/11/2022 -- 23:25:03 (uptime: 0d, 00h 01m 10s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 83520
decoder.bytes                                 | Total                     | 78103461
decoder.ipv4                                  | Total                     | 82877
decoder.ipv6                                  | Total                     | 209
decoder.ethernet                              | Total                     | 83520
decoder.tcp                                   | Total                     | 46084
decoder.udp                                   | Total                     | 36823
decoder.icmpv4                                | Total                     | 111
decoder.icmpv6                                | Total                     | 68
decoder.avg_pkt_size                          | Total                     | 935
decoder.max_pkt_size                          | Total                     | 1514
flow.tcp                                      | Total                     | 133
flow.udp                                      | Total                     | 772
flow.icmpv6                                   | Total                     | 8
tcp.sessions                                  | Total                     | 125
tcp.syn                                       | Total                     | 125
tcp.synack                                    | Total                     | 123
tcp.rst                                       | Total                     | 112
tcp.stream_depth_reached                      | Total                     | 8
tcp.reassembly_gap                            | Total                     | 2
detect.alert                                  | Total                     | 116
app_layer.flow.http                           | Total                     | 41
app_layer.tx.http                             | Total                     | 62
app_layer.flow.ftp                            | Total                     | 1
app_layer.tx.ftp                              | Total                     | 15
app_layer.flow.tls                            | Total                     | 65
app_layer.flow.ntp                            | Total                     | 13
app_layer.tx.ntp                              | Total                     | 116
app_layer.flow.krb5_tcp                       | Total                     | 1
app_layer.tx.krb5_tcp                         | Total                     | 1
app_layer.flow.dhcp                           | Total                     | 10
app_layer.tx.dhcp                             | Total                     | 100
app_layer.flow.dns_udp                        | Total                     | 650
app_layer.tx.dns_udp                          | Total                     | 1039
app_layer.flow.failed_udp                     | Total                     | 99
flow_mgr.closed_pruned                        | Total                     | 50
flow_mgr.new_pruned                           | Total                     | 405
flow_mgr.est_pruned                           | Total                     | 288
flow.spare                                    | Total                     | 10000
flow.tcp_reuse                                | Total                     | 2
flow_mgr.flows_checked                        | Total                     | 59
flow_mgr.flows_timeout                        | Total                     | 59
flow_mgr.flows_timeout_inuse                  | Total                     | 59
flow_mgr.rows_checked                         | Total                     | 65536
flow_mgr.rows_skipped                         | Total                     | 65477
flow_mgr.rows_maxlen                          | Total                     | 1
tcp.memuse                                    | Total                     | 574920
tcp.reassembly_memuse                         | Total                     | 1827632
http.memuse                                   | Total                     | 584389
ftp.memuse                                    | Total                     | 2414
app_layer.expectations                        | Total                     | 1
flow.memuse                                   | Total                     | 7530392
------------------------------------------------------------------------------------
Date: 12/11/2022 -- 23:25:11 (uptime: 0d, 00h 01m 18s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 88640
decoder.bytes                                 | Total                     | 84102711
decoder.ipv4                                  | Total                     | 87997
decoder.ipv6                                  | Total                     | 209
decoder.ethernet                              | Total                     | 88640
decoder.tcp                                   | Total                     | 51197
decoder.udp                                   | Total                     | 36830
decoder.icmpv4                                | Total                     | 111
decoder.icmpv6                                | Total                     | 68
decoder.avg_pkt_size                          | Total                     | 948
decoder.max_pkt_size                          | Total                     | 1514
flow.tcp                                      | Total                     | 142
flow.udp                                      | Total                     | 798
flow.icmpv6                                   | Total                     | 8
tcp.sessions                                  | Total                     | 134
tcp.syn                                       | Total                     | 134
tcp.synack                                    | Total                     | 134
tcp.rst                                       | Total                     | 112
tcp.stream_depth_reached                      | Total                     | 9
tcp.reassembly_gap                            | Total                     | 3
tcp.overlap                                   | Total                     | 1
detect.alert                                  | Total                     | 117
app_layer.flow.http                           | Total                     | 42
app_layer.tx.http                             | Total                     | 65
app_layer.flow.ftp                            | Total                     | 1
app_layer.tx.ftp                              | Total                     | 15
app_layer.flow.tls                            | Total                     | 73
app_layer.flow.ntp                            | Total                     | 13
app_layer.tx.ntp                              | Total                     | 116
app_layer.flow.krb5_tcp                       | Total                     | 1
app_layer.tx.krb5_tcp                         | Total                     | 1
app_layer.flow.dhcp                           | Total                     | 10
app_layer.tx.dhcp                             | Total                     | 100
app_layer.flow.dns_udp                        | Total                     | 668
app_layer.tx.dns_udp                          | Total                     | 1075
app_layer.flow.failed_udp                     | Total                     | 107
flow_mgr.closed_pruned                        | Total                     | 57
flow_mgr.new_pruned                           | Total                     | 405
flow_mgr.est_pruned                           | Total                     | 288
flow.spare                                    | Total                     | 9999
flow.tcp_reuse                                | Total                     | 2
flow_mgr.flows_checked                        | Total                     | 55
flow_mgr.flows_notimeout                      | Total                     | 3
flow_mgr.flows_timeout                        | Total                     | 52
flow_mgr.flows_timeout_inuse                  | Total                     | 52
flow_mgr.rows_checked                         | Total                     | 65536
flow_mgr.rows_skipped                         | Total                     | 65481
flow_mgr.rows_maxlen                          | Total                     | 1
tcp.memuse                                    | Total                     | 573440
tcp.reassembly_memuse                         | Total                     | 2388696
http.memuse                                   | Total                     | 516917
ftp.memuse                                    | Total                     | 2414
app_layer.expectations                        | Total                     | 1
flow.memuse                                   | Total                     | 7542200
------------------------------------------------------------------------------------
Date: 12/11/2022 -- 23:25:19 (uptime: 0d, 00h 01m 26s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 102144
decoder.bytes                                 | Total                     | 99610008
decoder.ipv4                                  | Total                     | 101498
decoder.ipv6                                  | Total                     | 209
decoder.ethernet                              | Total                     | 102144
decoder.tcp                                   | Total                     | 64636
decoder.udp                                   | Total                     | 36886
decoder.icmpv4                                | Total                     | 117
decoder.icmpv6                                | Total                     | 68
decoder.avg_pkt_size                          | Total                     | 975
decoder.max_pkt_size                          | Total                     | 1514
flow.tcp                                      | Total                     | 162
flow.udp                                      | Total                     | 904
flow.icmpv6                                   | Total                     | 8
tcp.sessions                                  | Total                     | 154
tcp.syn                                       | Total                     | 154
tcp.synack                                    | Total                     | 151
tcp.rst                                       | Total                     | 112
tcp.stream_depth_reached                      | Total                     | 9
tcp.reassembly_gap                            | Total                     | 3
tcp.overlap                                   | Total                     | 1
detect.alert                                  | Total                     | 122
app_layer.flow.http                           | Total                     | 42
app_layer.tx.http                             | Total                     | 69
app_layer.flow.ftp                            | Total                     | 1
app_layer.tx.ftp                              | Total                     | 15
app_layer.flow.tls                            | Total                     | 89
app_layer.flow.ntp                            | Total                     | 13
app_layer.tx.ntp                              | Total                     | 118
app_layer.flow.krb5_tcp                       | Total                     | 1
app_layer.tx.krb5_tcp                         | Total                     | 1
app_layer.flow.dhcp                           | Total                     | 11
app_layer.tx.dhcp                             | Total                     | 102
app_layer.flow.dns_udp                        | Total                     | 749
app_layer.tx.dns_udp                          | Total                     | 1222
app_layer.flow.failed_udp                     | Total                     | 131
flow_mgr.closed_pruned                        | Total                     | 64
flow_mgr.new_pruned                           | Total                     | 410
flow_mgr.est_pruned                           | Total                     | 340
flow.spare                                    | Total                     | 10000
flow.tcp_reuse                                | Total                     | 2
flow_mgr.flows_checked                        | Total                     | 54
flow_mgr.flows_notimeout                      | Total                     | 7
flow_mgr.flows_timeout                        | Total                     | 47
flow_mgr.flows_timeout_inuse                  | Total                     | 47
flow_mgr.rows_checked                         | Total                     | 65536
flow_mgr.rows_skipped                         | Total                     | 65482
flow_mgr.rows_maxlen                          | Total                     | 1
tcp.memuse                                    | Total                     | 573440
tcp.reassembly_memuse                         | Total                     | 3060792
http.memuse                                   | Total                     | 444988
ftp.memuse                                    | Total                     | 2414
app_layer.expectations                        | Total                     | 1
flow.memuse                                   | Total                     | 7560896
------------------------------------------------------------------------------------
Date: 12/11/2022 -- 23:25:27 (uptime: 0d, 00h 01m 34s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 106112
decoder.bytes                                 | Total                     | 104214702
decoder.ipv4                                  | Total                     | 105466
decoder.ipv6                                  | Total                     | 209
decoder.ethernet                              | Total                     | 106112
decoder.tcp                                   | Total                     | 68602
decoder.udp                                   | Total                     | 36888
decoder.icmpv4                                | Total                     | 117
decoder.icmpv6                                | Total                     | 68
decoder.avg_pkt_size                          | Total                     | 982
decoder.max_pkt_size                          | Total                     | 1514
flow.tcp                                      | Total                     | 175
flow.udp                                      | Total                     | 972
flow.icmpv6                                   | Total                     | 8
tcp.sessions                                  | Total                     | 167
tcp.syn                                       | Total                     | 167
tcp.synack                                    | Total                     | 167
tcp.rst                                       | Total                     | 112
tcp.stream_depth_reached                      | Total                     | 10
tcp.reassembly_gap                            | Total                     | 3
tcp.overlap                                   | Total                     | 2
detect.alert                                  | Total                     | 123
app_layer.flow.http                           | Total                     | 44
app_layer.tx.http                             | Total                     | 76
app_layer.flow.ftp                            | Total                     | 1
app_layer.tx.ftp                              | Total                     | 15
app_layer.flow.tls                            | Total                     | 100
app_layer.flow.ntp                            | Total                     | 13
app_layer.tx.ntp                              | Total                     | 118
app_layer.flow.krb5_tcp                       | Total                     | 1
app_layer.tx.krb5_tcp                         | Total                     | 1
app_layer.flow.dhcp                           | Total                     | 11
app_layer.tx.dhcp                             | Total                     | 102
app_layer.flow.dns_udp                        | Total                     | 809
app_layer.tx.dns_udp                          | Total                     | 1316
app_layer.flow.failed_udp                     | Total                     | 139
flow_mgr.closed_pruned                        | Total                     | 64
flow_mgr.new_pruned                           | Total                     | 410
flow_mgr.est_pruned                           | Total                     | 340
flow.spare                                    | Total                     | 10000
flow.tcp_reuse                                | Total                     | 2
flow_mgr.flows_checked                        | Total                     | 47
flow_mgr.flows_timeout                        | Total                     | 47
flow_mgr.flows_timeout_inuse                  | Total                     | 47
flow_mgr.rows_checked                         | Total                     | 65536
flow_mgr.rows_skipped                         | Total                     | 65489
flow_mgr.rows_maxlen                          | Total                     | 1
tcp.memuse                                    | Total                     | 573440
tcp.reassembly_memuse                         | Total                     | 3233252
http.memuse                                   | Total                     | 521986
ftp.memuse                                    | Total                     | 2414
app_layer.expectations                        | Total                     | 1
flow.memuse                                   | Total                     | 7602224
------------------------------------------------------------------------------------
Date: 12/11/2022 -- 23:25:35 (uptime: 0d, 00h 01m 42s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 132992
decoder.bytes                                 | Total                     | 135282450
decoder.ipv4                                  | Total                     | 132341
decoder.ipv6                                  | Total                     | 211
decoder.ethernet                              | Total                     | 132992
decoder.tcp                                   | Total                     | 95395
decoder.udp                                   | Total                     | 36959
decoder.icmpv4                                | Total                     | 128
decoder.icmpv6                                | Total                     | 70
decoder.avg_pkt_size                          | Total                     | 1017
decoder.max_pkt_size                          | Total                     | 1514
flow.tcp                                      | Total                     | 192
flow.udp                                      | Total                     | 1192
flow.icmpv6                                   | Total                     | 9
tcp.sessions                                  | Total                     | 183
tcp.syn                                       | Total                     | 183
tcp.synack                                    | Total                     | 183
tcp.rst                                       | Total                     | 127
tcp.stream_depth_reached                      | Total                     | 10
tcp.reassembly_gap                            | Total                     | 3
tcp.overlap                                   | Total                     | 2
detect.alert                                  | Total                     | 140
app_layer.flow.http                           | Total                     | 44
app_layer.tx.http                             | Total                     | 78
app_layer.flow.ftp                            | Total                     | 1
app_layer.tx.ftp                              | Total                     | 15
app_layer.flow.tls                            | Total                     | 115
app_layer.flow.ntp                            | Total                     | 13
app_layer.tx.ntp                              | Total                     | 131
app_layer.flow.krb5_tcp                       | Total                     | 1
app_layer.tx.krb5_tcp                         | Total                     | 1
app_layer.flow.dhcp                           | Total                     | 12
app_layer.tx.dhcp                             | Total                     | 120
app_layer.flow.dns_udp                        | Total                     | 998
app_layer.tx.dns_udp                          | Total                     | 1631
app_layer.flow.failed_udp                     | Total                     | 169
flow_mgr.closed_pruned                        | Total                     | 85
flow_mgr.new_pruned                           | Total                     | 526
flow_mgr.est_pruned                           | Total                     | 356
flow.spare                                    | Total                     | 10000
flow.tcp_reuse                                | Total                     | 2
flow_mgr.flows_checked                        | Total                     | 149
flow_mgr.flows_notimeout                      | Total                     | 46
flow_mgr.flows_timeout                        | Total                     | 103
flow_mgr.flows_timeout_inuse                  | Total                     | 80
flow_mgr.flows_removed                        | Total                     | 23
flow_mgr.rows_checked                         | Total                     | 65536
flow_mgr.rows_skipped                         | Total                     | 65376
flow_mgr.rows_empty                           | Total                     | 12
flow_mgr.rows_maxlen                          | Total                     | 2
tcp.memuse                                    | Total                     | 573440
tcp.reassembly_memuse                         | Total                     | 3265932
http.memuse                                   | Total                     | 254106
ftp.memuse                                    | Total                     | 1731
app_layer.expectations                        | Total                     | 1
flow.memuse                                   | Total                     | 7587464
------------------------------------------------------------------------------------
Date: 12/11/2022 -- 23:25:43 (uptime: 0d, 00h 01m 50s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 134208
decoder.bytes                                 | Total                     | 136631350
decoder.ipv4                                  | Total                     | 133557
decoder.ipv6                                  | Total                     | 211
decoder.ethernet                              | Total                     | 134208
decoder.tcp                                   | Total                     | 96609
decoder.udp                                   | Total                     | 36961
decoder.icmpv4                                | Total                     | 128
decoder.icmpv6                                | Total                     | 70
decoder.avg_pkt_size                          | Total                     | 1018
decoder.max_pkt_size                          | Total                     | 1514
flow.tcp                                      | Total                     | 197
flow.udp                                      | Total                     | 1205
flow.icmpv6                                   | Total                     | 9
tcp.sessions                                  | Total                     | 188
tcp.syn                                       | Total                     | 188
tcp.synack                                    | Total                     | 188
tcp.rst                                       | Total                     | 129
tcp.stream_depth_reached                      | Total                     | 10
tcp.reassembly_gap                            | Total                     | 4
tcp.overlap                                   | Total                     | 2
detect.alert                                  | Total                     | 141
app_layer.flow.http                           | Total                     | 46
app_layer.tx.http                             | Total                     | 80
app_layer.flow.ftp                            | Total                     | 1
app_layer.tx.ftp                              | Total                     | 15
app_layer.flow.tls                            | Total                     | 119
app_layer.flow.ntp                            | Total                     | 13
app_layer.tx.ntp                              | Total                     | 131
app_layer.flow.krb5_tcp                       | Total                     | 1
app_layer.tx.krb5_tcp                         | Total                     | 1
app_layer.flow.dhcp                           | Total                     | 12
app_layer.tx.dhcp                             | Total                     | 120
app_layer.flow.dns_udp                        | Total                     | 1010
app_layer.tx.dns_udp                          | Total                     | 1649
app_layer.flow.failed_udp                     | Total                     | 170
flow_mgr.closed_pruned                        | Total                     | 85
