------------------------------------------------------------------------------------
Date: 12/11/2022 -- 23:24:31 (uptime: 0d, 00h 00m 38s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 49728
decoder.bytes                                 | Total                     | 45311531
decoder.ipv4                                  | Total                     | 49191
decoder.ipv6                                  | Total                     | 170
decoder.ethernet                              | Total                     | 49728
decoder.tcp                                   | Total                     | 34482
decoder.udp                                   | Total                     | 14751
decoder.icmpv4                                | Total                     | 72
decoder.icmpv6                                | Total                     | 56
decoder.avg_pkt_size                          | Total                     | 911
decoder.max_pkt_size                          | Total                     | 1514
flow.tcp                                      | Total                     | 68
flow.udp                                      | Total                     | 530
flow.icmpv6                                   | Total                     | 4
tcp.sessions                                  | Total                     | 62
tcp.syn                                       | Total                     | 62
tcp.synack                                    | Total                     | 62
tcp.rst                                       | Total                     | 42
tcp.stream_depth_reached                      | Total                     | 4
tcp.reassembly_gap                            | Total                     | 2
detect.alert                                  | Total                     | 77
app_layer.flow.http                           | Total                     | 28
app_layer.tx.http                             | Total                     | 44
app_layer.flow.ftp                            | Total                     | 1
app_layer.tx.ftp                              | Total                     | 15
app_layer.flow.tls                            | Total                     | 27
app_layer.flow.ntp                            | Total                     | 13
app_layer.tx.ntp                              | Total                     | 83
app_layer.flow.dhcp                           | Total                     | 6
app_layer.tx.dhcp                             | Total                     | 60
app_layer.flow.dns_udp                        | Total                     | 453
app_layer.tx.dns_udp                          | Total                     | 733
app_layer.flow.failed_udp                     | Total                     | 58
flow_mgr.closed_pruned                        | Total                     | 22
flow_mgr.new_pruned                           | Total                     | 264
flow_mgr.est_pruned                           | Total                     | 185
flow.spare                                    | Total                     | 10000
flow_mgr.flows_checked                        | Total                     | 195
flow_mgr.flows_notimeout                      | Total                     | 21
flow_mgr.flows_timeout                        | Total                     | 174
flow_mgr.flows_timeout_inuse                  | Total                     | 24
flow_mgr.flows_removed                        | Total                     | 150
flow_mgr.rows_checked                         | Total                     | 65536
flow_mgr.rows_skipped                         | Total                     | 65341
flow_mgr.rows_empty                           | Total                     | 2
flow_mgr.rows_maxlen                          | Total                     | 2
tcp.memuse                                    | Total                     | 573440
tcp.reassembly_memuse                         | Total                     | 1192792
http.memuse                                   | Total                     | 584411
ftp.memuse                                    | Total                     | 2414
app_layer.expectations                        | Total                     | 1
flow.memuse                                   | Total                     | 7519240
------------------------------------------------------------------------------------
Date: 12/11/2022 -- 23:24:39 (uptime: 0d, 00h 00m 46s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 58688
decoder.bytes                                 | Total                     | 53880438
decoder.ipv4                                  | Total                     | 58150
decoder.ipv6                                  | Total                     | 170
decoder.ethernet                              | Total                     | 58688
decoder.tcp                                   | Total                     | 34883
decoder.udp                                   | Total                     | 23303
decoder.icmpv4                                | Total                     | 78
decoder.icmpv6                                | Total                     | 56
decoder.avg_pkt_size                          | Total                     | 918
decoder.max_pkt_size                          | Total                     | 1514
flow.tcp                                      | Total                     | 93
flow.udp                                      | Total                     | 678
flow.icmpv6                                   | Total                     | 7
tcp.sessions                                  | Total                     | 86
tcp.syn                                       | Total                     | 86
tcp.synack                                    | Total                     | 86
tcp.rst                                       | Total                     | 69
tcp.stream_depth_reached                      | Total                     | 5
tcp.reassembly_gap                            | Total                     | 2
detect.alert                                  | Total                     | 93
app_layer.flow.http                           | Total                     | 34
app_layer.tx.http                             | Total                     | 53
app_layer.flow.ftp                            | Total                     | 1
app_layer.tx.ftp                              | Total                     | 15
app_layer.flow.tls                            | Total                     | 43
app_layer.flow.ntp                            | Total                     | 13
app_layer.tx.ntp                              | Total                     | 103
app_layer.flow.krb5_tcp                       | Total                     | 1
app_layer.tx.krb5_tcp                         | Total                     | 1
app_layer.flow.dhcp                           | Total                     | 8
app_layer.tx.dhcp                             | Total                     | 72
app_layer.flow.dns_udp                        | Total                     | 580
app_layer.tx.dns_udp                          | Total                     | 929
app_layer.flow.failed_udp                     | Total                     | 77
flow_mgr.closed_pruned                        | Total                     | 27
flow_mgr.new_pruned                           | Total                     | 294
flow_mgr.est_pruned                           | Total                     | 249
flow.spare                                    | Total                     | 10000
flow.tcp_reuse                                | Total                     | 2
flow_mgr.flows_checked                        | Total                     | 31
flow_mgr.flows_notimeout                      | Total                     | 1
flow_mgr.flows_timeout                        | Total                     | 30
flow_mgr.flows_timeout_inuse                  | Total                     | 30
flow_mgr.rows_checked                         | Total                     | 65536
flow_mgr.rows_skipped                         | Total                     | 65505
flow_mgr.rows_maxlen                          | Total                     | 1
tcp.memuse                                    | Total                     | 573440
tcp.reassembly_memuse                         | Total                     | 1631064
http.memuse                                   | Total                     | 662354
ftp.memuse                                    | Total                     | 2414
app_layer.expectations                        | Total                     | 1
flow.memuse                                   | Total                     | 7542528
------------------------------------------------------------------------------------
Date: 12/11/2022 -- 23:24:47 (uptime: 0d, 00h 00m 54s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 68416
decoder.bytes                                 | Total                     | 63383866
decoder.ipv4                                  | Total                     | 67842
decoder.ipv6                                  | Total                     | 191
decoder.ethernet                              | Total                     | 68416
decoder.tcp                                   | Total                     | 35082
decoder.udp                                   | Total                     | 32805
